threshold,f1_score,precision,recall
0.3,0.6763485477178424,0.5109717868338558,1.0
0.35,0.6954643628509719,0.5366666666666666,0.9877300613496932
0.39999999999999997,0.715261958997722,0.5688405797101449,0.9631901840490797
0.44999999999999996,0.7211538461538461,0.5928853754940712,0.9202453987730062
0.49999999999999994,0.7164948453608248,0.6177777777777778,0.852760736196319
0.5499999999999999,0.6904761904761905,0.6705202312138728,0.7116564417177914
0.5999999999999999,0.6165413533834586,0.7961165048543689,0.5030674846625767
0.6499999999999999,0.2564102564102564,0.78125,0.15337423312883436
0.7,0.024242424242424242,1.0,0.012269938650306749
0.7499999999999999,0.0,0.0,0.0
